time,shot,ip,n_e,aminor,kappa,squareness,time_until_disrupt,delta,li,Wmhd
0.74,0,2.9861172418179533,2.3998939616581587e+19,0.6816414342703216,1.463787865383672,0.3987194424288688,,0.1644545371159967,4.573205084405358e-19,9.285805634837796e+19
0.745,0,2.5871630350547727,3.1990020326906106e+19,0.6352413275870934,1.2871698483698883,0.7421334153222282,,0.1030335479705246,3.3426050841342925e-19,7.292134837243942e+19
0.75,0,3.090772219632914,2.275280348705828e+19,0.4638906680664775,2.027325970955509,0.5932420113067243,,0.1400019912240884,5.732141722696517e-19,9.110204168166569e+19
0.755,0,2.081175304350417,2.928418397936608e+19,0.6820105886041568,1.7985314221087474,0.6037345588098347,,0.1659836818092024,5.533714345766422e-19,9.927950100773364e+19
0.76,0,3.062500186587998,2.8837307891218825e+19,0.581692285025336,1.7046890784184927,0.5900419831434865,,0.1874897467774787,5.440535557525637e-19,9.626739288526235e+19
0.765,0,3.1257838418767343,1.6905361993417929e+19,0.7865321339303202,1.9501006173222997,0.7053685487548669,,0.1057366321346943,5.717062615471426e-19,1.0038447806720872e+20
0.77,0,3.48475730427369,2.2323498953481527e+19,0.7395879307895179,1.2796165270825033,0.6207686417394076,,0.1476140569134524,4.494066098432674e-19,1.090215542638829e+20
0.775,0,2.2836214213407158,3.2439823645207536e+19,0.6728565309009144,1.913219457667383,0.6011089457106722,,0.2087248238447208,4.1528912149665585e-19,9.820795645044975e+19
0.78,0,1.8723910550434624,2.15008567272192e+19,0.8365383830472802,2.709395505794208,0.5327139307812215,,0.1433271263262993,5.145873089481536e-19,7.22913576464249e+19
0.785,0,2.1014118866666065,2.776973424659505e+19,0.5669095013040691,1.153644471227148,0.4789126823840381,,0.1338156602844391,5.056874329839884e-19,1.1343584480922957e+20
0.79,0,2.1603836013822484,2.5794427474991464e+19,0.6128268298023093,1.2341611083287904,0.5239564176435337,,0.1377808525871448,6.607003162677733e-19,9.529384093094276e+19
0.795,0,3.671383380187655,1.959021353165081e+19,0.4151581751688789,1.7531431804698736,0.6729917256352936,,0.1068091771298079,6.259767882026386e-19,1.1388058827761122e+20
0.8,0,2.5054450311489527,2.2659676464612536e+19,0.4942190123167902,2.0630581235378904,0.7269312217645842,,0.1818117156593885,4.980273782009659e-19,8.771888431577391e+19
0.805,0,2.707966010005275,1.7633047936391227e+19,0.5826507566270489,2.2697882372667726,0.6641748848246003,,0.0986017247836678,5.111251196145834e-19,5.910349455322761e+19
0.81,0,3.142689508086546,2.711785146251453e+19,0.5508327388290807,2.587198006349779,0.5673210044109628,,0.1965473788961335,4.576349867351266e-19,9.54873160122995e+19
0.8150000000000001,0,2.3972502656237884,2.4271964237082403e+19,0.3760499503527626,1.773062161620163,0.6120242365161379,,0.1781041825683188,5.733294441135853e-19,7.20801053861185e+19
0.8200000000000001,0,2.293621782745728,1.8108945671960564e+19,0.6399922866330638,1.8107336208548237,0.4894096312511373,,0.1191867837195314,4.876697497414739e-19,9.371277676729608e+19
0.8250000000000001,0,3.6728939726301455,3.1079640968381096e+19,0.6022785660642094,1.5190009945000316,0.503505960125298,,0.1092641514912275,5.8544383868409965e-19,1.0544148107281536e+20
0.8300000000000001,0,3.597136351487824,2.553362894791772e+19,0.4961255176084879,1.7878621498239002,0.4719564811415529,,0.1182508344647341,5.422949033774749e-19,8.769386255183508e+19
0.835,0,2.29799349248779,2.2747592046790197e+19,0.6984529657021474,1.8946287745911532,0.5771303376273422,,0.1531370259690065,5.028916731926402e-19,7.486632649927872e+19
0.84,0,2.259456179123508,3.3468935699472183e+19,0.6209711000438018,1.2587948360635035,0.3187888685600903,,0.1630266378172051,3.793727599001311e-19,7.403411170220527e+19
0.845,0,2.8733233332250605,3.086375104119731e+19,0.6331821522446452,2.1454126905361752,0.5201946771677416,,0.1235570596727341,4.504928351235546e-19,1.0703868798661865e+20
